name,category,iconName,nodeId,assetPath,useTier,verification,notes
Doctype Icons / Unknown,Doctype Icons,Unknown,1518:29486,icon-assets/exported-svg/Doctype Icons/Unknown.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Video,Doctype Icons,Video,1518:29488,icon-assets/exported-svg/Doctype Icons/Video.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Visio,Doctype Icons,Visio,1518:29490,icon-assets/exported-svg/Doctype Icons/Visio.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Webex,Doctype Icons,Webex,1518:29492,icon-assets/exported-svg/Doctype Icons/Webex.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Word,Doctype Icons,Word,1518:29494,icon-assets/exported-svg/Doctype Icons/Word.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / XLS,Doctype Icons,XLS,1518:29496,icon-assets/exported-svg/Doctype Icons/XLS.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / XMD,Doctype Icons,XMD,1518:29500,icon-assets/exported-svg/Doctype Icons/XMD.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / XML,Doctype Icons,XML,1518:29498,icon-assets/exported-svg/Doctype Icons/XML.svg,primary,visual-required,Searchable and usable after visual verification.
Doctype Icons / Zip,Doctype Icons,Zip,1518:29502,icon-assets/exported-svg/Doctype Icons/Zip.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / account,Standard Icons,account,1518:27417,icon-assets/exported-svg/Standard Icons/A/account.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / action_list_component,Standard Icons,action_list_component,1518:27337,icon-assets/exported-svg/Standard Icons/A/action_list_component.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / actions_and_buttons,Standard Icons,actions_and_buttons,1518:27419,icon-assets/exported-svg/Standard Icons/A/actions_and_buttons.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / activations,Standard Icons,activations,1518:27960,icon-assets/exported-svg/Standard Icons/A/activations.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / Activity,Standard Icons,Activity,1456:1994,icon-assets/exported-svg/Standard Icons/A/Activity.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / address,Standard Icons,address,1518:27421,icon-assets/exported-svg/Standard Icons/A/address.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / agent_session,Standard Icons,agent_session,1518:27423,icon-assets/exported-svg/Standard Icons/A/agent_session.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / all,Standard Icons,all,1518:27425,icon-assets/exported-svg/Standard Icons/A/all.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / announcement,Standard Icons,announcement,1518:27427,icon-assets/exported-svg/Standard Icons/A/announcement.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / answer_best,Standard Icons,answer_best,1518:27429,icon-assets/exported-svg/Standard Icons/A/answer_best.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / answer_private,Standard Icons,answer_private,1518:27431,icon-assets/exported-svg/Standard Icons/A/answer_private.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / answer_public,Standard Icons,answer_public,1518:27433,icon-assets/exported-svg/Standard Icons/A/answer_public.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / apex,Standard Icons,apex,1518:27437,icon-assets/exported-svg/Standard Icons/A/apex.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / apex_plugin,Standard Icons,apex_plugin,1518:27435,icon-assets/exported-svg/Standard Icons/A/apex_plugin.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / app,Standard Icons,app,1518:27439,icon-assets/exported-svg/Standard Icons/A/app.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / approval,Standard Icons,approval,1518:27441,icon-assets/exported-svg/Standard Icons/A/approval.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / apps,Standard Icons,apps,1518:27445,icon-assets/exported-svg/Standard Icons/A/apps.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / apps_admin,Standard Icons,apps_admin,1518:27443,icon-assets/exported-svg/Standard Icons/A/apps_admin.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / article,Standard Icons,article,1518:27447,icon-assets/exported-svg/Standard Icons/A/article.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / asset_action,Standard Icons,asset_action,1518:28008,icon-assets/exported-svg/Standard Icons/A/asset_action.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / asset_action_source,Standard Icons,asset_action_source,1518:27958,icon-assets/exported-svg/Standard Icons/A/asset_action_source.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / asset_downtime_period,Standard Icons,asset_downtime_period,1518:28006,icon-assets/exported-svg/Standard Icons/A/asset_downtime_period.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / asset_object,Standard Icons,asset_object,1518:28004,icon-assets/exported-svg/Standard Icons/A/asset_object.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / asset_relationship,Standard Icons,asset_relationship,1518:27449,icon-assets/exported-svg/Standard Icons/A/asset_relationship.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / asset_state_period,Standard Icons,asset_state_period,1518:28002,icon-assets/exported-svg/Standard Icons/A/asset_state_period.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / assigned_resource,Standard Icons,assigned_resource,1518:27451,icon-assets/exported-svg/Standard Icons/A/assigned_resource.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / assignment,Standard Icons,assignment,1518:27453,icon-assets/exported-svg/Standard Icons/A/assignment.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / avatar,Standard Icons,avatar,1518:27457,icon-assets/exported-svg/Standard Icons/A/avatar.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / A / avatar_loading,Standard Icons,avatar_loading,1518:27455,icon-assets/exported-svg/Standard Icons/A/avatar_loading.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / B / bot,Standard Icons,bot,1518:27461,icon-assets/exported-svg/Standard Icons/B/bot.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / B / bot_training,Standard Icons,bot_training,1518:27459,icon-assets/exported-svg/Standard Icons/B/bot_training.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / B / branch_merge,Standard Icons,branch_merge,1518:27339,icon-assets/exported-svg/Standard Icons/B/branch_merge.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / B / brand,Standard Icons,brand,1518:27463,icon-assets/exported-svg/Standard Icons/B/brand.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / B / business_hours,Standard Icons,business_hours,1518:27465,icon-assets/exported-svg/Standard Icons/B/business_hours.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / B / buyer_account,Standard Icons,buyer_account,1518:27467,icon-assets/exported-svg/Standard Icons/B/buyer_account.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / B / buyer_group,Standard Icons,buyer_group,1518:27469,icon-assets/exported-svg/Standard Icons/B/buyer_group.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / calibration,Standard Icons,calibration,1518:27471,icon-assets/exported-svg/Standard Icons/C/calibration.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / call,Standard Icons,call,1518:27475,icon-assets/exported-svg/Standard Icons/C/call.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / call_coaching,Standard Icons,call_coaching,1518:28000,icon-assets/exported-svg/Standard Icons/C/call_coaching.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / call_history,Standard Icons,call_history,1518:27473,icon-assets/exported-svg/Standard Icons/C/call_history.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / campaign,Standard Icons,campaign,1518:27479,icon-assets/exported-svg/Standard Icons/C/campaign.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / campaign_members,Standard Icons,campaign_members,1518:27477,icon-assets/exported-svg/Standard Icons/C/campaign_members.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / cancel_checkout,Standard Icons,cancel_checkout,1518:27998,icon-assets/exported-svg/Standard Icons/C/cancel_checkout.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / canvas,Standard Icons,canvas,1518:27481,icon-assets/exported-svg/Standard Icons/C/canvas.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / carousel,Standard Icons,carousel,1518:27483,icon-assets/exported-svg/Standard Icons/C/carousel.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / case,Standard Icons,case,1518:27497,icon-assets/exported-svg/Standard Icons/C/case.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / case_change_status,Standard Icons,case_change_status,1518:27485,icon-assets/exported-svg/Standard Icons/C/case_change_status.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / case_comment,Standard Icons,case_comment,1518:27487,icon-assets/exported-svg/Standard Icons/C/case_comment.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / case_email,Standard Icons,case_email,1518:27489,icon-assets/exported-svg/Standard Icons/C/case_email.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / case_log_a_call,Standard Icons,case_log_a_call,1518:27491,icon-assets/exported-svg/Standard Icons/C/case_log_a_call.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / case_milestone,Standard Icons,case_milestone,1518:27493,icon-assets/exported-svg/Standard Icons/C/case_milestone.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / case_transcript,Standard Icons,case_transcript,1518:27495,icon-assets/exported-svg/Standard Icons/C/case_transcript.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / case_wrap_up,Standard Icons,case_wrap_up,1518:27996,icon-assets/exported-svg/Standard Icons/C/case_wrap_up.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / catalog,Standard Icons,catalog,1518:27499,icon-assets/exported-svg/Standard Icons/C/catalog.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / category,Standard Icons,category,1518:27501,icon-assets/exported-svg/Standard Icons/C/category.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / channel_program_history,Standard Icons,channel_program_history,1518:27503,icon-assets/exported-svg/Standard Icons/C/channel_program_history.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / channel_program_levels,Standard Icons,channel_program_levels,1518:27505,icon-assets/exported-svg/Standard Icons/C/channel_program_levels.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / channel_program_members,Standard Icons,channel_program_members,1518:27507,icon-assets/exported-svg/Standard Icons/C/channel_program_members.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / channel_programs,Standard Icons,channel_programs,1518:27509,icon-assets/exported-svg/Standard Icons/C/channel_programs.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / chart,Standard Icons,chart,1518:27511,icon-assets/exported-svg/Standard Icons/C/chart.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / choice,Standard Icons,choice,1518:27513,icon-assets/exported-svg/Standard Icons/C/choice.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / client,Standard Icons,client,1518:27515,icon-assets/exported-svg/Standard Icons/C/client.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / cms,Standard Icons,cms,1518:27517,icon-assets/exported-svg/Standard Icons/C/cms.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / coaching,Standard Icons,coaching,1518:27519,icon-assets/exported-svg/Standard Icons/C/coaching.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / code_playground,Standard Icons,code_playground,1518:27521,icon-assets/exported-svg/Standard Icons/C/code_playground.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / collection_variable,Standard Icons,collection_variable,1518:27523,icon-assets/exported-svg/Standard Icons/C/collection_variable.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / connected_apps,Standard Icons,connected_apps,1518:27525,icon-assets/exported-svg/Standard Icons/C/connected_apps.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / constant,Standard Icons,constant,1518:27527,icon-assets/exported-svg/Standard Icons/C/constant.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / contact,Standard Icons,contact,1518:27345,icon-assets/exported-svg/Standard Icons/C/contact.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / contact_list,Standard Icons,contact_list,1518:27341,icon-assets/exported-svg/Standard Icons/C/contact_list.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / contact_request,Standard Icons,contact_request,1518:27343,icon-assets/exported-svg/Standard Icons/C/contact_request.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / contract,Standard Icons,contract,1518:27349,icon-assets/exported-svg/Standard Icons/C/contract.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / contract_line_item,Standard Icons,contract_line_item,1518:27347,icon-assets/exported-svg/Standard Icons/C/contract_line_item.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / currency,Standard Icons,currency,1518:27531,icon-assets/exported-svg/Standard Icons/C/currency.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / currency_input,Standard Icons,currency_input,1518:27529,icon-assets/exported-svg/Standard Icons/C/currency_input.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / custom,Standard Icons,custom,1518:27535,icon-assets/exported-svg/Standard Icons/C/custom.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / custom_notification,Standard Icons,custom_notification,1518:27533,icon-assets/exported-svg/Standard Icons/C/custom_notification.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / customer_360,Standard Icons,customer_360,1518:27537,icon-assets/exported-svg/Standard Icons/C/customer_360.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / customer_lifecycle_analytics,Standard Icons,customer_lifecycle_analytics,1518:27956,icon-assets/exported-svg/Standard Icons/C/customer_lifecycle_analytics.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / customer_portal_users,Standard Icons,customer_portal_users,1518:27351,icon-assets/exported-svg/Standard Icons/C/customer_portal_users.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / C / customers,Standard Icons,customers,1518:27539,icon-assets/exported-svg/Standard Icons/C/customers.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / dashboard,Standard Icons,dashboard,1518:27543,icon-assets/exported-svg/Standard Icons/D/dashboard.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / dashboard_ea,Standard Icons,dashboard_ea,1518:27541,icon-assets/exported-svg/Standard Icons/D/dashboard_ea.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / data_integration_hub,Standard Icons,data_integration_hub,1518:27545,icon-assets/exported-svg/Standard Icons/D/data_integration_hub.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / data_model,Standard Icons,data_model,1518:27994,icon-assets/exported-svg/Standard Icons/D/data_model.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / data_streams,Standard Icons,data_streams,1518:27954,icon-assets/exported-svg/Standard Icons/D/data_streams.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / datadotcom,Standard Icons,datadotcom,1518:27547,icon-assets/exported-svg/Standard Icons/D/datadotcom.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / dataset,Standard Icons,dataset,1518:27549,icon-assets/exported-svg/Standard Icons/D/dataset.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / date_input,Standard Icons,date_input,1518:27551,icon-assets/exported-svg/Standard Icons/D/date_input.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / date_time,Standard Icons,date_time,1518:27553,icon-assets/exported-svg/Standard Icons/D/date_time.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / decision,Standard Icons,decision,1518:27555,icon-assets/exported-svg/Standard Icons/D/decision.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / default,Standard Icons,default,1518:27557,icon-assets/exported-svg/Standard Icons/D/default.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / delegated_account,Standard Icons,delegated_account,1518:27559,icon-assets/exported-svg/Standard Icons/D/delegated_account.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / display_rich_text,Standard Icons,display_rich_text,1518:27561,icon-assets/exported-svg/Standard Icons/D/display_rich_text.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / display_text,Standard Icons,display_text,1518:27353,icon-assets/exported-svg/Standard Icons/D/display_text.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / document,Standard Icons,document,1518:27563,icon-assets/exported-svg/Standard Icons/D/document.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / drafts,Standard Icons,drafts,1518:27565,icon-assets/exported-svg/Standard Icons/D/drafts.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / D / dynamic_record_choice,Standard Icons,dynamic_record_choice,1518:27567,icon-assets/exported-svg/Standard Icons/D/dynamic_record_choice.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / education,Standard Icons,education,1518:27569,icon-assets/exported-svg/Standard Icons/E/education.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / einstein_replies,Standard Icons,einstein_replies,1518:27992,icon-assets/exported-svg/Standard Icons/E/einstein_replies.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / email,Standard Icons,email,1518:27573,icon-assets/exported-svg/Standard Icons/E/email.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / email_chatter,Standard Icons,email_chatter,1518:27571,icon-assets/exported-svg/Standard Icons/E/email_chatter.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / employee,Standard Icons,employee,1518:27982,icon-assets/exported-svg/Standard Icons/E/employee.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / employee_asset,Standard Icons,employee_asset,1518:27990,icon-assets/exported-svg/Standard Icons/E/employee_asset.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / employee_contact,Standard Icons,employee_contact,1518:27952,icon-assets/exported-svg/Standard Icons/E/employee_contact.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / employee_job,Standard Icons,employee_job,1518:27986,icon-assets/exported-svg/Standard Icons/E/employee_job.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / employee_job_position,Standard Icons,employee_job_position,1518:27988,icon-assets/exported-svg/Standard Icons/E/employee_job_position.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / employee_organization,Standard Icons,employee_organization,1518:27984,icon-assets/exported-svg/Standard Icons/E/employee_organization.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / empty,Standard Icons,empty,1518:27575,icon-assets/exported-svg/Standard Icons/E/empty.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / endorsement,Standard Icons,endorsement,1518:27577,icon-assets/exported-svg/Standard Icons/E/endorsement.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / entitlement,Standard Icons,entitlement,1518:27585,icon-assets/exported-svg/Standard Icons/E/entitlement.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / entitlement_policy,Standard Icons,entitlement_policy,1518:27579,icon-assets/exported-svg/Standard Icons/E/entitlement_policy.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / entitlement_process,Standard Icons,entitlement_process,1518:27581,icon-assets/exported-svg/Standard Icons/E/entitlement_process.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / entitlement_template,Standard Icons,entitlement_template,1518:27583,icon-assets/exported-svg/Standard Icons/E/entitlement_template.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / entity,Standard Icons,entity,1518:27589,icon-assets/exported-svg/Standard Icons/E/entity.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / entity_milestone,Standard Icons,entity_milestone,1518:27587,icon-assets/exported-svg/Standard Icons/E/entity_milestone.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / environment_hub,Standard Icons,environment_hub,1518:27591,icon-assets/exported-svg/Standard Icons/E/environment_hub.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / event,Standard Icons,event,1518:27593,icon-assets/exported-svg/Standard Icons/E/event.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / events,Standard Icons,events,1518:27595,icon-assets/exported-svg/Standard Icons/E/events.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / expense,Standard Icons,expense,1518:27980,icon-assets/exported-svg/Standard Icons/E/expense.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / expense_report,Standard Icons,expense_report,1518:28012,icon-assets/exported-svg/Standard Icons/E/expense_report.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / E / expense_report_entry,Standard Icons,expense_report_entry,1518:28010,icon-assets/exported-svg/Standard Icons/E/expense_report_entry.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / F / feed,Standard Icons,feed,1518:27597,icon-assets/exported-svg/Standard Icons/F/feed.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / F / feedback,Standard Icons,feedback,1518:27599,icon-assets/exported-svg/Standard Icons/F/feedback.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / F / file,Standard Icons,file,1518:27601,icon-assets/exported-svg/Standard Icons/F/file.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / F / filter,Standard Icons,filter,1518:27603,icon-assets/exported-svg/Standard Icons/F/filter.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / F / first_non_empty,Standard Icons,first_non_empty,1518:27605,icon-assets/exported-svg/Standard Icons/F/first_non_empty.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / F / flow,Standard Icons,flow,1518:27607,icon-assets/exported-svg/Standard Icons/F/flow.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / F / folder,Standard Icons,folder,1518:27609,icon-assets/exported-svg/Standard Icons/F/folder.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / F / forecasts,Standard Icons,forecasts,1518:27611,icon-assets/exported-svg/Standard Icons/F/forecasts.svg,primary,visual-required,Searchable and usable after visual verification.
Standard Icons / F / formula,Standard Icons,formula,1518:27613,icon-assets/exported-svg/Standard Icons/F/formula.svg,primary,visual-required,Searchable and usable after visual verification.
